status	enemies	warmup_frames	sample_frames	median_ms	p95_ms	max_ms	vsync	msaa	culling	instancing	width	height	adapter	draw_calls	root_cbv_binds	main_visible	shadow_visible	main_culled	shadow_culled	unbounded	draw_items	object_writes	object_capacity	instance_capacity	srv_used	srv_capacity	error
success	500	120	600	0.252	0.621	1.613	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1009	1012	504	504	0	0	0	504	504	512	256	7	64	
success	500	120	600	0.249	0.450	1.521	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	504	504	0	0	0	504	5	512	512	7	64	
success	500	120	600	0.260	0.640	1.486	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	698	701	193	504	311	0	0	504	504	512	256	7	64	
success	500	120	600	0.280	0.646	1.339	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	193	504	311	0	0	504	5	512	512	7	64	
success	500	120	600	0.253	0.668	1.511	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1009	1012	504	504	0	0	0	504	504	512	256	7	64	
success	500	120	600	0.249	0.508	1.448	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	504	504	0	0	0	504	5	512	512	7	64	
success	500	120	600	0.259	0.631	1.418	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	698	701	193	504	311	0	0	504	504	512	256	7	64	
success	500	120	600	0.281	0.668	1.685	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	193	504	311	0	0	504	5	512	512	7	64	
success	1000	120	600	0.342	0.744	1.438	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.338	0.758	1.395	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.357	0.690	1.283	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1414	1417	409	1004	595	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.405	0.661	1.151	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	409	1004	595	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.345	0.807	1.443	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.338	0.796	1.368	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.357	0.733	1.236	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1414	1417	409	1004	595	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.406	0.700	1.228	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	409	1004	595	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.342	0.705	1.472	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.339	0.758	1.566	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.356	0.708	1.572	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1414	1417	409	1004	595	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.406	0.664	1.381	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	409	1004	595	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.343	0.744	1.458	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.341	0.628	1.430	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.361	0.931	1.583	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1414	1417	409	1004	595	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.414	0.849	1.511	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	411	1004	593	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.349	0.870	1.468	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.346	0.843	1.549	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.364	0.993	1.712	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1414	1417	409	1004	595	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.406	0.582	1.581	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	409	1004	595	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.342	0.716	1.767	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.341	0.685	1.472	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.355	0.807	1.544	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1414	1417	409	1004	595	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.407	0.632	1.252	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	409	1004	595	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.344	0.859	1.522	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.339	0.638	1.568	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.357	0.597	1.217	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1414	1417	409	1004	595	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.407	0.654	1.084	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	409	1004	595	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.346	0.896	1.783	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.340	0.753	1.761	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.356	0.739	1.546	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1414	1417	409	1004	595	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.406	0.636	1.678	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	409	1004	595	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.343	0.806	1.435	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.339	0.733	1.296	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.358	0.726	1.788	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1414	1417	409	1004	595	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.407	0.614	1.219	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	409	1004	595	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.343	0.714	1.516	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.338	0.679	1.621	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.357	0.798	1.612	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1414	1417	409	1004	595	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.411	0.599	1.075	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	409	1004	595	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.343	0.703	1.457	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.341	0.677	1.605	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.355	0.706	1.336	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1414	1417	409	1004	595	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.406	0.660	1.282	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	409	1004	595	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.343	0.773	1.648	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2009	2012	1004	1004	0	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.340	0.837	1.399	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	1004	1004	0	0	0	1004	5	1024	1024	7	64	
success	1000	120	600	0.359	0.666	1.335	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	1414	1417	409	1004	595	0	0	1004	1004	1024	256	7	64	
success	1000	120	600	0.406	0.692	1.108	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	409	1004	595	0	0	1004	5	1024	1024	7	64	
success	2000	120	600	0.543	0.731	1.251	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	4009	4012	2004	2004	0	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.539	0.736	1.234	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	2004	2004	0	0	0	2004	5	2048	2048	7	64	
success	2000	120	600	0.568	0.714	1.208	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2833	2836	828	2004	1176	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.677	0.796	1.563	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	836	2004	1168	0	0	2004	5	2048	2048	7	64	
success	2000	120	600	0.542	0.761	1.278	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	4009	4012	2004	2004	0	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.541	0.758	1.328	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	2004	2004	0	0	0	2004	5	2048	2048	7	64	
success	2000	120	600	0.572	0.698	0.933	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2833	2836	828	2004	1176	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.678	0.794	1.577	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	836	2004	1168	0	0	2004	5	2048	2048	7	64	
success	2000	120	600	0.541	0.772	1.347	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	4009	4012	2004	2004	0	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.542	0.762	1.382	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	2004	2004	0	0	0	2004	5	2048	2048	7	64	
success	2000	120	600	0.571	0.771	1.098	off	4x	on	off	1280	720	NVIDIA GeForce RTX 5070 Ti	2834	2837	829	2004	1175	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.681	0.852	1.526	off	4x	on	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	837	2004	1167	0	0	2004	5	2048	2048	7	64	
success	2000	120	600	0.541	0.790	1.786	off	4x	off	off	1280	720	NVIDIA GeForce RTX 5070 Ti	4009	4012	2004	2004	0	0	0	2004	2004	2048	256	7	64	
success	2000	120	600	0.541	0.711	1.237	off	4x	off	on	1280	720	NVIDIA GeForce RTX 5070 Ti	11	9	2004	2004	0	0	0	2004	5	2048	2048	7	64	
